ReviewID,Position,Reviewer,AssociatedWith,Country,Movie,Score
215,5,Manoj Barpujari,Freelance,India,"5. Good Bye Lenin! (Wolfgang Becker, 2003)",6
216,6,Manoj Barpujari,Freelance,India,"6. The General (Clyde Bruckman and Buster Keaton, 1926)",5
217,7,Manoj Barpujari,Freelance,India,"7. The Grand Budapest Hotel (Wes Anderson, 2014)",4
218,8,Manoj Barpujari,Freelance,India,"8. It Happened One Night (Frank Capra, 1934)",3
219,9,Manoj Barpujari,Freelance,India,"9. Forrest Gump (Robert Zemeckis, 1994)",2
220,10,Manoj Barpujari,Freelance,India,"10. Shaun the Sheep Movie (Mark Burton and Richard Starzak, 2015)",1
221,1,Melis Behlil,Kadir Has University,Turkey,"1. Life of Brian (Terry Jones, 1979)",10
222,2,Melis Behlil,Kadir Has University,Turkey,"2. Top Secret! (Jim Abrahams, David Zucker and Jerry Zucker, 1984)",9
223,3,Melis Behlil,Kadir Has University,Turkey,"3. History of the World: Part 1 (Mel Brooks, 1981)",8
224,4,Melis Behlil,Kadir Has University,Turkey,"4. This Is Spinal Tap (Rob Reiner, 1984)",7
225,5,Melis Behlil,Kadir Has University,Turkey,"5. Inside Out (Pete Docter and Ronnie del Carmen, 2015)",6
226,6,Melis Behlil,Kadir Has University,Turkey,"6. Airplane! (Jim Abrahams, David Zucker and Jerry Zucker, 1980)",5
227,7,Melis Behlil,Kadir Has University,Turkey,"7. Sherlock Jr (Buster Keaton, 1924)",4
228,8,Melis Behlil,Kadir Has University,Turkey,"8. Hot Fuzz (Edgar Wright, 2007)",3
229,9,Melis Behlil,Kadir Has University,Turkey,"9. Sleeper (Woody Allen, 1973)",2
230,10,Melis Behlil,Kadir Has University,Turkey,"10. A Close Shave (Nick Park, 1995)",1
231,1,Abbey Bender,Freelance,USA,"1. Some Like It Hot (Billy Wilder, 1959)",10
232,2,Abbey Bender,Freelance,USA,"2. His Girl Friday (Howard Hawks, 1940)",9
233,3,Abbey Bender,Freelance,USA,"3. Sherlock Jr (Buster Keaton, 1924)",8
234,4,Abbey Bender,Freelance,USA,"4. Airplane! (Jim Abrahams, David Zucker and Jerry Zucker, 1980)",7
235,5,Abbey Bender,Freelance,USA,"5. Duck Soup (Leo McCarey, 1933)",6
236,6,Abbey Bender,Freelance,USA,"6. Annie Hall (Woody Allen, 1977)",5
237,7,Abbey Bender,Freelance,USA,"7. Clueless (Amy Heckerling, 1995)",4
238,8,Abbey Bender,Freelance,USA,"8. The Man with Two Brains (Carl Reiner, 1983)",3
239,9,Abbey Bender,Freelance,USA,"9. The Ladies Man (Jerry Lewis, 1961)",2
240,10,Abbey Bender,Freelance,USA,"10. The Discreet Charm of the Bourgeoisie (Luis Buñuel, 1972)",1
241,1,Pamela Biénzobas,Freelance,Chile,"1. Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb (Stanley Kubrick, 1964)",10
242,2,Pamela Biénzobas,Freelance,Chile,"2. Being John Malkovich (Spike Jonze, 1999)",9
243,3,Pamela Biénzobas,Freelance,Chile,"3. The Royal Tenenbaums (Wes Anderson, 2001)",8
244,4,Pamela Biénzobas,Freelance,Chile,"4. Life of Brian (Terry Jones, 1979)",7
245,5,Pamela Biénzobas,Freelance,Chile,"5. To Be or Not To Be (Ernst Lubitsch, 1942)",6
